review,tokens,explicit aspects,explicit opinion,implicit aspects,implicit opinion,is_suggestion,explicit aspects positions,explicit opinion positions,aspect_tags
"EXCELENTE PRODUTO E A ENTREGA MELHOR AINDA, ESTÁ DE PARABENS TODOS QUE FAZEM AS AMERICANAS.COM","['EXCELENTE', 'PRODUTO', 'E', 'A', 'ENTREGA', 'MELHOR', 'AINDA', ',', 'ESTÁ', 'DE', 'PARABENS', 'TODOS', 'QUE', 'FAZEM', 'AS', 'AMERICANAS.COM']","['produto', 'entrega']","['excelente', 'melhor ainda']",[],[],,"[[1, 2], [4, 5]]","[[0, 1], [5, 7]]","['O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Todos os aparelhos samsung são de uma qualidade muito boa.. super recomendo.,"['Todos', 'os', 'aparelhos', 'samsung', 'são', 'de', 'uma', 'qualidade', 'muito', 'boa', '..', 'super', 'recomendo', '.']",['aparelhos samsung'],['qualidade muito boa'],['produto'],['super recomendo'],,"[[2, 4]]","[[7, 10]]","['O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Atendeu todas as expectativas, recomendo Samsung top de tv pra mim.","['Atendeu', 'todas', 'as', 'expectativas', ',', 'recomendo', 'Samsung', 'top', 'de', 'tv', 'pra', 'mim', '.']",['samsung'],['top'],"['produto', 'produto']","['atendeu todas as expectativas', 'recomendo']",,"[[6, 7]]","[[7, 8]]","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']"
"Rapidez, Boa qualidade e preocupação em manter o cliente informado do destino do produto...","['Rapidez', ',', 'Boa', 'qualidade', 'e', 'preocupação', 'em', 'manter', 'o', 'cliente', 'informado', 'do', 'destino', 'do', 'produto', '...']",[],[],"['desempenho', 'produto', 'entrega']","['rapidez', 'boa qualidade', 'preocupação em manter o cliente informado do destino do produto']",,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"ÓTIMA IMAGEM, FÁCIL ACESSO À INTERNET COM WIFI INTEGRADO, YOUTUBE, NETFLIX... PERFEITA!!!","['ÓTIMA', 'IMAGEM', ',', 'FÁCIL', 'ACESSO', 'À', 'INTERNET', 'COM', 'WIFI', 'INTEGRADO', ',', 'YOUTUBE', ',', 'NETFLIX', '...', 'PERFEITA', '!', '!', '!']","['imagem', 'acesso à internet']","['ótima', 'fácil']",['produto'],['perfeita'],,"[[1, 2], [4, 7]]","[[0, 1], [3, 4]]","['O', 'B-ASP', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Recomendo a aquisição deste produto. Leve, simples de usar e de alta qualidade. Som e imagem perfeitas. Entrega muito satisfatória.","['Recomendo', 'a', 'aquisição', 'd', 'este', 'produto', '.', 'Leve', ',', 'simples', 'de', 'usar', 'e', 'de', 'alta', 'qualidade', '.', 'Som', 'e', 'imagem', 'perfeitas', '.', 'Entrega', 'muito', 'satisfatória', '.']","['produto', 'qualidade', 'som', 'imagem', 'entrega']","['recomendo a aquisição', 'alta', 'perfeitas', 'perfeitas', 'muito satisfatória']","['peso', 'usabilidade']","['leve', 'simples de usar']",,"[[5, 6], [15, 16], [17, 18], [19, 20], [22, 23]]","[[0, 3], [14, 15], [20, 21], [20, 21], [23, 25]]","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"gostei muito da tv, superou minhas expectativas. parabéns a americanas.com pela agilidade na entrega, gastando apenas tres dias. estou muito satisfeito.","['gostei', 'muito', 'da', 'tv', ',', 'superou', 'minhas', 'expectativas', '.', 'parabéns', 'a', 'americanas.com', 'pela', 'agilidade', 'na', 'entrega', ',', 'gastando', 'apenas', 'tres', 'dias', '.', 'estou', 'muito', 'satisfeito', '.']","['tv', 'entrega']","['gostei muito', 'agilidade']",[],[],,"[[3, 4], [15, 16]]","[[0, 2], [13, 14]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Muito bom o produto,entrega foi feita antes do prazo. Parabénsss!!! Samsung e lojas americanas","['Muito', 'bom', 'o', 'produto', ',', 'entrega', 'foi', 'feita', 'antes', 'do', 'prazo', '.', 'Parabénsss', '!', '!', '!', 'Samsung', 'e', 'lojas', 'americanas']","['produto', 'entrega']","['muito bom', 'antes do prazo']",[],[],,"[[3, 4], [5, 6]]","[[0, 2], [8, 11]]","['O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Produto Não Deixa nada a desejar, exelente, gostei em ter comprado nas Américanas. Entrega no prazo, perfeito, estão de parabéns.","['Produto', 'Não', 'Deixa', 'nada', 'a', 'desejar', ',', 'exelente', ',', 'gostei', 'em', 'ter', 'comprado', 'nas', 'Américanas', '.', 'Entrega', 'no', 'prazo', ',', 'perfeito', ',', 'estão', 'de', 'parabéns', '.']","['produto', 'entrega']","['não deixa nada a desejar, exelente', 'no prazo']",['produto'],['perfeito'],,"[[0, 1], [16, 17]]","[[1, 8], [17, 19]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Eu gostei muito da tv imagem muito boa com varias programaçoes. Podem comprar dessa empresa porque e confiavel. Nota des valeu.,"['Eu', 'gostei', 'muito', 'da', 'tv', 'imagem', 'muito', 'boa', 'com', 'varias', 'programaçoes', '.', 'Podem', 'comprar', 'd', 'essa', 'empresa', 'porque', 'e', 'confiavel', '.', 'Nota', 'des', 'valeu', '.']","['tv', 'imagem', 'programaçoes']","['gostei muito', 'muito boa', 'varias']",[],[],,"[[4, 5], [5, 6], [10, 11]]","[[1, 3], [6, 8], [9, 10]]","['O', 'O', 'O', 'O', 'B-ASP', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"DEMAIS ESSE PRODUTO, QUALIDADE DA IMAGEM É PERFEITA.. GOSTEI MUITO!!","['DEMAIS', 'ESSE', 'PRODUTO', ',', 'QUALIDADE', 'DA', 'IMAGEM', 'É', 'PERFEITA', '..', 'GOSTEI', 'MUITO', '!', '!']","['produto', 'imagem']","['demais', 'perfeita']",[],[],,"[[2, 3], [6, 7]]","[[0, 1], [8, 9]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"o produto é bom e a entrega foi feita no prazo atendendo assim as minhas expectativas, recomendo o produto e o vendedor","['o', 'produto', 'é', 'bom', 'e', 'a', 'entrega', 'foi', 'feita', 'no', 'prazo', 'atendendo', 'assim', 'as', 'minhas', 'expectativas', ',', 'recomendo', 'o', 'produto', 'e', 'o', 'vendedor']","['produto', 'entrega', 'produto']","['bom', 'feita no prazo', 'recomendo']",[],[],,"[[1, 2], [6, 7], [19, 20]]","[[3, 4], [8, 11], [17, 18]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"Produto inteligente, ativado automaticamente via internet, facilita toda a programação do aparelho.","['Produto', 'inteligente', ',', 'ativado', 'automaticamente', 'via', 'internet', ',', 'facilita', 'toda', 'a', 'programação', 'do', 'aparelho', '.']",['produto'],['inteligente'],[],[],,"[[0, 1]]","[[1, 2]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Demora um pouco para responder aos comandos efetuados através do controle, ex: abrir o smart Hub, ele demora um pouco para aparecer as opções na tela.","['Demora', 'um', 'pouco', 'para', 'responder', 'a', 'os', 'comandos', 'efetuados', 'através', 'do', 'controle', ',', 'ex', ':', 'abrir', 'o', 'smart', 'Hub', ',', 'ele', 'demora', 'um', 'pouco', 'para', 'aparecer', 'as', 'opções', 'na', 'tela', '.']","['comandos', 'opções na tela']","['demora um pouco para responder', 'demora um pouco para aparecer']",[],[],,"[[7, 8], [27, 30]]","[[0, 5], [21, 26]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O']"
"A princípio, tudo ok . Não posso avaliar melhor porque o produto é novo . Até então, tudo funcionando bem. Assim espero que vá por muito tempo.","['A', 'princípio', ',', 'tudo', 'ok', '.', 'Não', 'posso', 'avaliar', 'melhor', 'porque', 'o', 'produto', 'é', 'novo', '.', 'Até', 'então', ',', 'tudo', 'funcionando', 'bem', '.', 'Assim', 'espero', 'que', 'vá', 'por', 'muito', 'tempo', '.']",[],[],[],[],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Boa imagem, smart hub fácil de usar. O áudio poderia ser um pouco melhor.","['Boa', 'imagem', ',', 'smart', 'hub', 'fácil', 'de', 'usar', '.', 'O', 'áudio', 'poderia', 'ser', 'um', 'pouco', 'melhor', '.']","['imagem', 'smart hub', 'áudio']","['boa', 'fácil de usar', 'poderia ser um pouco melhor']",[],[],,"[[1, 2], [3, 5], [10, 11]]","[[0, 1], [5, 8], [11, 16]]","['O', 'B-ASP', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']"
amei a tv melhor do que eu esperava e a entrega foi antes do dia ameiiiii,"['amei', 'a', 'tv', 'melhor', 'do', 'que', 'eu', 'esperava', 'e', 'a', 'entrega', 'foi', 'antes', 'do', 'dia', 'ameiiiii']","['tv', 'entrega']","['amei', 'antes do dia ameiiiii']",[],[],,"[[2, 3], [10, 11]]","[[0, 1], [12, 16]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']"
"É ótima essa Smart Tv, estamos gostando bastante aqui em casa. Só quando ela liga tem que esperar ela """"acordar"""" por um segundo, mas isso é normal.","['É', 'ótima', 'essa', 'Smart', 'Tv', ',', 'estamos', 'gostando', 'bastante', 'aqui', 'em', 'casa', '.', 'Só', 'quando', 'ela', 'liga', 'tem', 'que', 'esperar', 'ela', '""', '""', 'acordar', '""', '""', 'por', 'um', 'segundo', ',', 'mas', 'isso', 'é', 'normal', '.']",['smart tv'],['ótima'],['inicialização'],"['esperar ela """"acordar"""" por um segundo']",,"[[3, 5]]","[[1, 2]]","['O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Produto excelente!! Recomendo produto alem de chegar na data marcada.,"['Produto', 'excelente', '!', '!', 'Recomendo', 'produto', 'alem', 'de', 'chegar', 'na', 'data', 'marcada', '.']","['produto', 'produto']","['excelente', 'recomendo']",['entrega'],['chegar na data marcada'],,"[[0, 1], [5, 6]]","[[1, 2], [4, 5]]","['B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Recomendo, tem muitas funções praticas, o wi-fi conecta rápido. É super leve e a imagem espetacular!!!","['Recomendo', ',', 'tem', 'muitas', 'funções', 'praticas', ',', 'o', 'wi-fi', 'conecta', 'rápido', '.', 'É', 'super', 'leve', 'e', 'a', 'imagem', 'espetacular', '!', '!', '!']","['funções', 'wi-fi', 'imagem']","['praticas', 'conecta rápido', 'espetacular']","['produto', 'peso']","['recomendo', 'super leve']",,"[[4, 5], [8, 9], [17, 18]]","[[5, 6], [9, 11], [18, 19]]","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
"Maravilhosa.Chegou dentro do prazo estipulado, muito bem embalada, Respondeu às minhas expectativas. Eu recomendo.","['Maravilhosa', '.', 'Chegou', 'dentro', 'do', 'prazo', 'estipulado', ',', 'muito', 'bem', 'embalada', ',', 'Respondeu', 'à', 's', 'minhas', 'expectativas', '.', 'Eu', 'recomendo', '.']",[],[],"['produto', 'entrega', 'produto', 'produto']","['maravilhosa', 'chegou dentro do prazo estipulado', 'muito bem embalada', 'recomendo']",,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Muito bom produto é uma Samsung nao precisa dizer mais nada,"['Muito', 'bom', 'produto', 'é', 'uma', 'Samsung', 'nao', 'precisa', 'dizer', 'mais', 'nada']",['produto'],['muito bom'],[],[],,"[[2, 3]]","[[0, 2]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Muito bom a entrega foi bem antes do prazo estipulado e produto foi excelente.,"['Muito', 'bom', 'a', 'entrega', 'foi', 'bem', 'antes', 'do', 'prazo', 'estipulado', 'e', 'produto', 'foi', 'excelente', '.']","['entrega', 'produto']","['bem antes do prazo', 'excelente']",['produto'],['muito bom'],,"[[3, 4], [11, 12]]","[[5, 9], [13, 14]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
"e tudo que esperava,chegou rapido produto muito bom agora e so curtir","['e', 'tudo', 'que', 'esperava', ',', 'chegou', 'rapido', 'produto', 'muito', 'bom', 'agora', 'e', 'so', 'curtir']",['produto'],['muito bom'],"['produto', 'entrega']","['e tudo que esperava', 'chegou rapido']",,"[[7, 8]]","[[8, 10]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']"
"Só o som que não é tão bom quanto,mas muito boa a TV.","['Só', 'o', 'som', 'que', 'não', 'é', 'tão', 'bom', 'quanto', ',', 'mas', 'muito', 'boa', 'a', 'TV', '.']","['som', 'tv']","['não é tão bom quanto', 'muito boa']",[],[],,"[[2, 3], [14, 15]]","[[4, 9], [11, 13]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
Gostei da TV tem uma excelente resolução e de fácil uso,"['Gostei', 'da', 'TV', 'tem', 'uma', 'excelente', 'resolução', 'e', 'de', 'fácil', 'uso']","['tv', 'resolução', 'uso']","['gostei', 'excelente', 'fácil']",[],[],,"[[2, 3], [6, 7], [10, 11]]","[[0, 1], [5, 6], [9, 10]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP']"
"Prós - Entrega no prazo, em perfeito estado, aparência bonita. Contras - Laterais deveriam ter botões de volume, trocar de canais, etc...ou seja, tente não estragar o controle remoto.","['Prós', '-', 'Entrega', 'no', 'prazo', ',', 'em', 'perfeito', 'estado', ',', 'aparência', 'bonita', '.', 'Contras', '-', 'Laterais', 'deveriam', 'ter', 'botões', 'de', 'volume', ',', 'trocar', 'de', 'canais', ',', 'etc', '...', 'ou', 'seja', ',', 'tente', 'não', 'estragar', 'o', 'controle', 'remoto', '.']","['entrega', 'aparência', 'laterais']","['no prazo, em perfeito estado', 'bonita', 'deveriam ter botões de volume']",[],[],,"[[2, 3], [10, 11], [15, 16]]","[[3, 9], [11, 12], [16, 21]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"A entrega foi rápida e o produto é muito bom, eu recomendo.","['A', 'entrega', 'foi', 'rápida', 'e', 'o', 'produto', 'é', 'muito', 'bom', ',', 'eu', 'recomendo', '.']","['entrega', 'produto']","['rápida', 'muito bom']",['produto'],['recomendo'],,"[[1, 2], [6, 7]]","[[3, 4], [8, 10]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Samsung é um excelente produto. Só estou com dificuldade de conecão wi-fi, no demais linda.","['Samsung', 'é', 'um', 'excelente', 'produto', '.', 'Só', 'estou', 'com', 'dificuldade', 'de', 'conecão', 'wi-fi', ',', 'no', 'demais', 'linda', '.']","['samsung', 'conecão wi-fi']","['excelente', 'estou com dificuldade']",['design'],['linda'],,"[[0, 1], [11, 13]]","[[3, 4], [7, 10]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O']"
"Atendeu há todas minhas expectativas,excelente qualidade,um produto muito bom mesmo.","['Atendeu', 'há', 'todas', 'minhas', 'expectativas', ',', 'excelente', 'qualidade', ',', 'um', 'produto', 'muito', 'bom', 'mesmo', '.']","['qualidade', 'produto']","['excelente', 'muito bom mesmo']",[],[],,"[[7, 8], [10, 11]]","[[6, 7], [11, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
"O aparelho é bom, o som é só configurar e regular que fica bem agradável, as vezes trava mas nada que atrapalhe. Até então estou gostando do aparelho e recomendo.","['O', 'aparelho', 'é', 'bom', ',', 'o', 'som', 'é', 'só', 'configurar', 'e', 'regular', 'que', 'fica', 'bem', 'agradável', ',', 'as', 'vezes', 'trava', 'mas', 'nada', 'que', 'atrapalhe', '.', 'Até', 'então', 'estou', 'gostando', 'do', 'aparelho', 'e', 'recomendo', '.']","['aparelho', 'som', 'aparelho']","['bom', 'bem agradável', 'gostando']","['desempenho', 'produto']","['as vezes trava mas nada que atrapalhe', 'recomendo']",,"[[1, 2], [6, 7], [30, 31]]","[[3, 4], [14, 16], [28, 29]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']"
Sou de SC e chegou em 4 dias .... A entrega mais rápida que ja vi... Em perfeitas condições... Parabéns ao Shoptime..,"['Sou', 'de', 'SC', 'e', 'chegou', 'em', '4', 'dias', '....', 'A', 'entrega', 'mais', 'rápida', 'que', 'ja', 'vi', '...', 'Em', 'perfeitas', 'condições', '...', 'Parabéns', 'a', 'o', 'Shoptime', '..']",['entrega'],['mais rápida que ja vi'],['entrega'],['perfeitas condições'],,"[[10, 11]]","[[11, 16]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Como tenho uma, resolvi comprar outra da mesma marca. Recomendo. Fácil instalação. Sem problemas com frete.","['Como', 'tenho', 'uma', ',', 'resolvi', 'comprar', 'outra', 'da', 'mesma', 'marca', '.', 'Recomendo', '.', 'Fácil', 'instalação', '.', 'Sem', 'problemas', 'com', 'frete', '.']","['instalação', 'frete']","['fácil', 'sem problemas']",['produto'],['recomendo'],,"[[14, 15], [19, 20]]","[[13, 14], [16, 18]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O']"
Um ótimo produto e excelente custo benefício bem como a entrega realizada dentro do prazo.,"['Um', 'ótimo', 'produto', 'e', 'excelente', 'custo', 'benefício', 'bem', 'como', 'a', 'entrega', 'realizada', 'dentro', 'do', 'prazo', '.']","['produto', 'custo benefício', 'entrega']","['ótimo', 'excelente', 'dentro do prazo']",[],[],,"[[2, 3], [5, 7], [10, 11]]","[[1, 2], [4, 5], [12, 15]]","['O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']"
