prompt,completion
Estou tendo dificuldades pra conecrar o Wi-Fi e o suporte táctico nao ajudou em nada. Nao conectou o netflix pelo celular. decepcionada.,""
"Realmente muito bom, fácil, leve, imagem sensacional, entrega rápido. Lembrando que tem acesso a internet, o que mais uso YouTube e netiflix. Recomendo.","imagem
entrega"
"A TV foi adquirida para a exibição de desenhos animados e filmes infantis, e para esse fim o custo x benefício foi ótimo.",custo x benefício
Gostei do preço Samsung Smart TV gosto dos produtos da marca Samsung,"preço
produtos"
Ótimo custo benefício. Cumpre o que promete. Achei um pouco lento nas mudanças de funções e principalmente para se conectar ao wifi quando liga a tv.,"custo benefício
mudanças de funções"
Rapaz veio rápido e a tv e ótima. melhor não tem. quem quer compra um boa tv esta e a opção.,"tv
tv"
"Ótimo produto, faz bem o seu papel, recomendo chegou antes do prazo!",produto
Produto entregue dentro do prazo. Caixa bastante protegida para não danificar a mercadoria.,"produto
caixa"
"Ótima tv, boa definição de som, imagem e design .","tv
som
imagem
design"
Gostei muito da TV. Muito leve e fácil de ser instalada. Foi entregue muito antes do prazo. Ótima compra.,"tv
compra"
"Adorei, imagem ótima, tv levinha, entrega em 6 dias, superou minhas expectativas.","imagem
entrega"
"Perfeita, atendeu todas as minhas necessidades, além de ter uma ótima qualidade de imagem.",imagem
O produto é muito bom já tinha uma da mesma marca recomendo para ser melhor já podia vim com suporte para parede .,"produto
suporte para parede"
"Atendeu todas as minhas expectativas, custo benefício bom e estou satisfeito.",custo benefício
Gostei muito. Imagem e som Muito boa. Recomendo,"imagem
som"
"Ótima qualidade de imagem, se conecta rápido ao wi-fi, produto muito bom!","imagem
wi-fi
produto"
"Produto de fácil manoseio e de boa qualidade,superou minhas expectativas.Samsung esta de parabéns.","manoseio
samsung"
Aparelho muito bom e de fácil instalação. Além de ter chegado rápido,"aparelho
instalação"
TV de boa qualidade exceto o som que parece radinho de pilha lamentável.,"tv
som"
"Otima TV. Imagem excelente, bom boa definição, bom numero de entradas tanto HDMI quando USB ótima para colocar no quarto","tv
imagem
definição
entradas"
TV de ótima qualidade dentro da sua categoria. A melhor relação custo x benefício pela pesquisa que fiz. Estou satisfeito!!,"tv
custo x benefício"
"Excelente pelo custo beneficio. A unica coisa que não gostei foi do áudio, poderia ser melhor.","custo beneficio
áudio"
"Produto atendeu todas as minhas necessidades, entrega rápida, e estou muito satisfeita.","produto
entrega"
"Nota 10 para a entrega, bem antes do prazo. A TV é boa, design moderno. Só deixa a desejar no volume.","entrega
tv
design
volume"
"Tv maravilhosa, super leve e prática! Chegou SUPER antes do prazo. Em menos de uma semana estava em minha residência. Recomendo o produto! :)","tv
produto"
Adorei minha TV super recomendo e a entrega foi super rápida,"tv
entrega"
"Entrega super rápida, e frete super em conta. O som da TV é baixo, mas tambem depende do filme ou programa assistido.","entrega
frete
som"
"A Tv é muito boa, entre os modelos e tamanhos esse aparelho supriu as minhas expectativas.","tv
aparelho"
"Excelente produto, entrega antes do prazo e em perfeito estado.","produto
entrega"
Entrega antes do prazo e em excelentes condições. Produto muito bom.,"entrega
produto"
"Produto bom, chegou antes do prazo e tudo funcionando perfeitamente. Só faltou no controle o botão de atalho para Netflix!","produto
controle"
"Gostei da TV , recomendo , custo e beneficio. Compro varias coisas na americanas, rapidez e eficiencia",tv
"Esse produto é muito bom, eu recomendo a todos. Ótima qualidade por um preço excelente.","produto
preço"
"O produto é leve, prático, de fácil instalação. A qualidade da imagem é satisfatória e possui uma série de funções para deixá-la ao seu gosto.","instalação
imagem
funções"
ótimo atendimento do submarino entrega Mega rápido e tv excelente amei muito.,"atendimento
entrega
tv"
Gostei muito da TV. Imagem de alta definição. Fácil instalação e manuseio do controle.,"tv
imagem
instalação
manuseio do controle"
Fácil instalação e manuseio Recomendo a todos que estejam comprando smart Tv Adquiri por um ótimo preço promoção Bem abaixo dos outros revendedores,"instalação
manuseio
preço"
"TV excelente, ótima imagem, pronta para conexão com a internet e aplicativos e redes sociais!","tv
imagem
conexão"
TV excelente. Som e imagem perfeitos. Simples de monta e mexer. Entrega dentro do prazo. Super recomendo!,"tv
som
imagem
entrega"
"Entrega antes do prazo,minha filha adorou ficou ótimo no quarto dela, recomendo ótimo produto.","entrega
produto"
Parabéns a americanas pelo excelente trabalho e produto! Chegou dentro do prazo e sem nenhuma reclamação da tv!,"produto
tv"
"Muito bom! recomendo. Atende a necessidade de um ambiante médio como, quarto ou sala não muito grande.",""
"muito bom o produto, mais em especial a loja está de parabéns, compro bastante pela internet e em loja nenhuma tive uma entrega tao eficiente e eficaz, foi muito rapido mesmo.","produto
entrega
entrega"
Entrega rápida e produto de boa qualidade. Recomendo a quem tiver interessado.,"entrega
produto"
"Ela cumpre tudo que promete. A única falha é não ser FULL HD (mas hoje todas são HD e essa entrega uma taxa de atualização com Tecnologia 120Hz) diferentemente as demais que entregam 60Hz sem deixar rastros. Outro ponto que todo mundo reclama é o som por ser baixo. Mas não é um problema. Ela vem de fábrica realmente com som baixo por padrão, mas basta ir nas configurações de som que tudo se resolve e fica perfeita. É a TV que entrega a melhor resposta entre todas as concorrentes da categoria.","full hd
som"
"TV com imagem excelente e som também, mas ela realmente peca um pouco nos aplicativos, quando você clica pra acessar um dos aplicativos, aparece a informação na tela que a TV esta sendo preparada, você tem que tentar varias vezes pra acessar.","imagem
som
aplicativos"
"Ótimo produto, americanas como sempre com excelente atendimento. Amei, exatamente o que eu esperava!!!",produto
"Comprei este modelo 32 e 43 polegadas, ambos travam o menu e controle quando vc acabou de ligar a TV ou quando acessa netflix ou youtube. Isto se dá devido ao processador e memória cache baixos. Da impressão que é o controle mas não é, uma pena a Samsung economizar nisto.","menu
controle
processador
memória cache"
É uma ótima TV e recomendo a todos! Imagem e som perfeitos!!! Estou amando ver meus filmes e séries!!!,"tv
tv
imagem
som"
"Atendeu todas as expectativas, recomendo Samsung top de tv pra mim.",samsung
"Excelente produto, agora assisto a TV com uma super imagem, conversor digital, e de quebra posso assistir filmes na Netflix ou Vídeos no Youtube quando quero aulas de alongamento, relaxamento, ou qualquer outro tutorial","produto
imagem"
"Otima imagem e som... super recomendo.. comprei uma e gostei tanto do preço e qualidade que comprei outra idêntica para meu noivo. Entrega super rápida, recebi em 5 dias úteis.","imagem
som
preço
entrega"
"A TV como Smart, deixa a desejar, do mais é um ótimo aparelho, satisfazendo minhas necessidades. Recomendo o produto. O Shoptime mais uma vez de parabéns, entrega rápida (antes do prazo), produto bem embalado, chegando em perfeitas condições. Até agora, em todas as compras que fiz o Shoptime foi nota 10 em suas entregas, tem minha preferência.","smart
aparelho
produto
entrega"
"Comprei pro meu filho jogar vídeo game, porém é muito pequena. O áudio é fraco, causou muita estranheza. Pois estou acostumado com a outra tv de 42 polegadas """"de outra marca"""". Estou muito arrependido, e recomendo a compra algo superior. Essa aqui é só pra aqueles ambientes como churrasqueira, área de lazer e tal...",áudio
Essa TV é simplesmente maravilhosa. Já é a 3ª que adquirimos nas Lojas Americanas. Td de bom. O produto chegou em perfeitas condições. Com uma agilidade incrível. Super recomedo. Preço imbatível. Td xou!!!,"tv
produto
preço"
"Entrega bem antes do prazo previsto.. Adorei isso! Amei muito a TV e minha mãe tbm... (comprei duas de uma vez só e não me arrependi)... É um pouco lenta para acessar o NETFLIX, por exemplo, mas nada de exagerado... Amei, amei, amei.","entrega
tv
netflix"
"Produto muito bom para o preço que eu adquiri, contudo, vale ressaltar que o receptor wi-fi que vem na tv para utilizar a função smart não é dos melhores, cai um pouco o sinal, mas tirando isso é otima","produto
receptor wi-fi"
"a imagem é razoável, a facilidade de usar os aplicativos okay, mas o som, mesmo depois de muito ajustar ainda fica horroroso, se for pra ver um filme recomenda-se ligar num aparelho de som ou comprar as barras de som que se vendem agora","imagem
facilidade de usar os aplicativos
som"
"A TV é muito boa igual a do anuncio, por isso eu o recomendo para aqueles que gostam de assistir em TV que tem todas as ferramentas disponíveis, principalmente de TV com internet.",tv
"O ShopTime tem um excelente atendimento e entrega rápida. Smart TV ótima para assistir filmes no NetFlix , e assistir vídeos e filmes no YouTube; isto com internet de somente 5mg. Como TV também tem imagem e som perfeitos. Acesso a mídias muito bom, dá até para ver vídeos p/ navegador do Google. Ótima qualidade!","entrega
smart tv
imagem
som
acesso a mídias"
Alem de ser um bom produto a entrega foi muito rápido. E eu moro no sul do Rio Grande do Sul. Primeira compra nas Americanas e ja virei fregues. recomendo a compra nessa loja.,"produto
entrega
compra"
"A internet é um pouco lenta, mas sei que isso depende do pacote contratado. Neste item posso dizer que funciona, mas no meu caso com lentidão. A imagem é boa, assim como o som. Recomendo!","internet
imagem
som"
"A princípio, tudo ok . Não posso avaliar melhor porque o produto é novo . Até então, tudo funcionando bem. Assim espero que vá por muito tempo.",""
Produto de ótima qualidade. Muito bem embalado e sem nenhum dano. Só sugiro um manual com uma letra maior. Mas de fácil montagem e o programa da TV é bem explicativo. Recomendo o produto e a submarino.,"produto
montagem
programa da tv
produto"
Gostei! Já adquiri outro produto desta marca ee fiquei bem feliz! Vale a pena!!,""
"É uma boa SMART TV com muitos aplicativos interessantes. (se você for assinante da Netflix ou do Looke (um site concorrente e forte em parceria com a Tele Cine) poderá assistir tranquilo seus filmes/seriados. Só peca na questão do som (baixo), porém, se você tiver um Home Theater ou um Amplificador o seu problema estará resolvido com a conexão de um Cabo Óptico Digital. O resto é muito bom (inclusive a imagem). recomento o produto.","smart tv
aplicativos
som
produto"
Otimo produto e entrega super rápida Qualidade e preço muito bons,"produto
entrega
preço"
"Acabei de comprar , preparei a colocação para fixar no suporte universal no painel de madeira, quando fui perceber , as conexões são todas na parte traseira , precisei de cortar uma parte do painel para ligar os cabos HDMI ( são compridos ) se fosse nas laterais seria muito bom.",""
"se arrepedimento matasse , estava morta, diferente da smart tv Lg que comprei e apenas liguei na tomada e fiz uma configuração super simples e já tive disposição internet, netflix, e youtube , tudo facil, essa da samsung nunca conseguir usar nada de internet, apesar dela ta posicionada onde o sinal fica excelete nao consigo , net flix dar erro , e o youtube não carrega! Pessima, vai ficar sendo usada como tv comum , pq de smart so tem o nome! aconselho comprar LG!","internet
net flix
youtube
smart"
Produto com limitações de desempenho em imagem e som. O som parece com o de caixinhas de desktop. A imagem por mais que se ajuste fica embaçada. Não é uma boa compra.,"desempenho
imagem
som
imagem"
O produto corresponde ao que eu esperava quando da compra.,produto
"Bom produto, mas o som poderia ser melhor. em relação as outras Tvs da Samsung essa tem o som mediano.","produto
som
som"
"- Tv muito leve (a fonte é externa); - Só existe um botão que serve para ligar/mudar canal/volume (sem o controle remoto, fica um pouco confuso utilizar os recursos); e - As caixas de som são na parte inferior (não chega a comprometer a qualidade).",recursos
"pra quem como eu comprou a tv pra assistir no sistema smart e wi-fi, esquece. Ela demora muito pra captar o sinal do wi-fi, quando vc liga ela nao funciona, diz que fica preparando a tv as vezes 20 min. a 1 hora sem funcionar. You Tube funciona bem, globo play, nao pega o sinal ao vivo, várias limitações. Enfim, quem vai usar ela pra outro fim, nao precisa ser smart, pode comprar a mais barata.","sinal do wi-fi
you tube
globo play"
"Só o som que não é tão bom quanto,mas muito boa a TV.","som
tv"
O produto estava bem embalado e em ordem. Já o conhecia e recomendo.,""
"Eu aconselho vc fazer um boicote a esta marca e a outras marcas de tv 32 que só disponibilizam a imagem em HD, é um absurdo, tudo que se produz em imagem hoje, digo em produções, seja cinematográficas, seja studios de games, tudo é no minimo em 1920 x 1080 ou seja, Full Hd, e essas empresas mercenárias contiuam a produzir esses lixos do passado, quero dizer, minto, porque no passado os televisores de 32 polegadas eram Full Hd, as empresas dão um passo para frente e dois para trás. Por isso aconselho, não compre esse lixo ou qualquer outro que não tenha a técnologia Full Hd.",imagem
Valor otimo Som muito bom Facil de utilizar Chegou super rapido Recomendo!,"valor
som"
"A marca fala por si, tenho um produto semelhante da mesma marca por isso optei pela compra. Excelente preço, desconto e parcelamento sem igual pelo cartão Submarino e entrega super rápida. Tudo ok.","preço
entrega"
"Produto de ótima qualidade. Boa recepção wi-fi, ótima imagem, nota 10.","produto
recepção wi-fi
imagem"
"Gostei do produto, já conhecia recomendo... chegou no prazo... pretendo futuramente fazer uma nova compra da mesma.",produto
"Funcionava até que bem até a 3 semana, depois começou a travar feio, mesmo instalado apenas Netflix é you tube. Demora muito pra iniciar o smart Hub, muito mesmo. Além do screen mirror também não funcionar. Resumindo odiei, isso que escolhi a dedo a marca Samsung dentre as outras do mercado.","smart hub
screen mirror"
"Simples , bonita, fácil de utilizar as funções. ..mudaria somente os pés p uma qualidade melhor..",funções
Eu a concelh outras pessoas comprar pelo site do submarino!,""
"Muitas funções no mesmo aparelho. A navegação na internet é muito boa, e com a assinatura da Netflix fica excelente. Ótimo produto, vale a pena comprar. A entrega é rápida, chegou antes do prazo estipulado.","funções
navegação na internet
produto
produto
entrega"
"Uma porcaria! Além de lenta nas conexões vem com transformador de energia anexo, daí voce fica com aquele trambolho junto a TV. O som dela parece de celular, enfim, parece uma velha TV adaptada para smart. Pelo preço eu ja deveria ter desconfiado.","conexões
transformador de energia
som"
O produto é excelente superou minha expectativa e a entrega foi rápida.,"produto
entrega"
"Apenas um ponto negativo: não tem muitos aplicativos disponíveis fazer download. Gostaria de baixar o spotify, mas não dá. Fora isso, ela cumpre o que promete.",aplicativos
"A televisao chegou e nao consegui configura-la para instalar a Net.Levei a tv para a assistencia tecnica da Samsung Multifix , no Rio de Janeiro ,que me entregara de volta no dia 8 de fevereiro,se conseguirem consertar.",""
Atendeu todas as minhas expectativas. A entrega tb foi super rápida. Recomento!,entrega
"Recomendo a todos, entrega rápida, produto chegou conforme o combinado","entrega
produto"
"Achei a televisão ótima, a final é uma samsung neh ? rs a unica coisa é que ela demora um tempo para poder entrar nas funções de internet, mas e resto é perfeita.","televisão
funções de internet"
"Tudo que é informado e verídico, compatível com outros produtos que possuo.",""
"A Tv no começo parece boa até, porém com um tempo de uso essa Smart da Samsung ela acontece um problema que verifiquei e são com muitas pessoas que ocorrem ela se liga e desliga sozinha por muitos dias até que chega uma hora que ela nem liga, estou com esse problema na minha e descobri inúmeras pessoas que também tem.","tv
tv
tv"
"Produto chegou antes do prazo, atendeu todas as expectativas, todos os sistemas da mesma estão ok! Recomendo!",sistemas
"Tive o modelo anterior da TV de 32"""" da Samsung e já não era tão boa, pois achava o smart hub dela lenta, porém. Aliás, o problema com ela era justamente pq a Samsung tentou fazer os apps rodarem em segundo plano, mas a TV não tinha capacidade pra fazer isso direito. No entanto, ela era rápida pra abrir os apps e o uso pra TV aberta era normal. Essa não... essa é péssima em todos os sentidos. A TV leva um minuto depois de ligada pra liberar o uso os apps como o Netflix (fica uma mensagem: Netflix está sendo preparado para o uso, coisa que no modelo anterior não ocorria). Aumentar ou diminuir o volume é um exercício para a paciência: o delay é enorme. Parece um computador velho. Travamentos são constantes. Enfim... péssima compra. Extremamente arrependido. Não recomendo de maneira alguma.",aumentar ou diminuir o volume
"Muito boa, som e imagem de qualidades, opção smart tv funciona bem, não é lenta como alguns outros modelos.. de momento nada a reclamar","som
imagem
opção smart tv"
"Antes de eu comprar a TV, li vários reviews criticando o som dela. De fato, o som não é dos melhores (parece meio abafado às vezes. A imagem, a princípio, parece um pouco borrada - mas isso pode ser melhorado mexendo nas configurações de imagens. A TV tem alguns apps bons (além de Youtube e Netflix), mas é muito LENTA para abrir esses apps. Se você estiver assistindo a um vídeo do Youtube no celular e quiser passar para a TV, é uma eternidade (primeiro para abrir o app do Youtube, depois o app vai para a página inicial do Youtube e só depois começa a carregar o vídeo que você quer assistir). A única coisa realmente rápida é para compartilhar a tela do celular na TV. Você liga a opção """"smart view"""" no seu celular (meu celular também é da Samsung, e não sei se isso ajuda) e a imagem aparece quase que instantâneamente na TV. O tempo de resposta também é bastante rápido. Não gostei também do fato de que, ao reproduzir arquivos de vídeo direto do pen drive, só temos a opção de legenda na cor branca.","som
imagem
tv
tv"
"Tem poucos dias que adqueri o aparelho, mas estou achando por enquanto excelente.",""
"Recomendo, esta tv é ótima msm. A entrega foi rápida antes do prazo previsto.","tv
entrega"
"Comprei esse modelo e, no primeiro mês de uso, o som apresentava um irritante chiado em sons mais graves. Foi solicitada visita técnica da Samsung, efetuada troca dos alto-falantes e, semanas depois, o problema retornou. Solicitada a segunda visita da assistência técnica da Samsung, foram trocados novamente os alto-falantes e mais a Placa Pci Fonte da tv. Semanas depois, o problema retorna. Por relatos de outros usuários desse modelo e outros da Samsung, há problema na construção da carcaça de plástico, ocasionando problema na área dos alto-falantes. Logo, se você não quer o risco de ter um tv nova com problemas no som, NÃO COMPRE SMART TV SAMSUNG.","som
carcaça de plástico
smart tv samsung"
"A TV é boa, com vários recursos, entretanto o som é baixo. Outra coisa é que nas especificações avisava sobre o PIP, mas até agora não consegui executar.","tv
recursos
som"
"Muito satisfeita pela entrega é pontualidade, o produto também me deixou satisfeita","entrega
produto"
"Chegou muito antes da previsão de entrega, entrega rápida, produto bem embalado.","entrega
entrega
produto"
"Produto excelente,com muita tecnologia e rapidez, abriu todos os aplicativos como Netflix, que em uma outra tv minha não abre, com essa não tive problemas.",produto
"A Tv é boa, tem uma imagem ótima para ver filmes e assistir normalmente, só para jogos que a imagem e as cores ficam um pouco distorcidas deixando o jogo com uma cara feia. Fora isso o resto é perfeito.","tv
imagem
imagem"
Muito bom a smartphone TV Samsung chegou antes do prazo previsto eu recomendo obrigado .,smartphone tv samsung
"eu ameii essa televisão pois pega wifi, netflix e youtube","televisão
wifi
netflix
youtube"
"Excelente smart, adorei meu produto, correspondeu a todas minhas expectativas. Super recomendo.","smart
produto"
"Conexão fácil, bons aplicativos já instalados: Netflix, YouTube, GloboPlay. A imagem da TV é muito boa, pelo preço vale a pena adquirir esta marca.","conexão
aplicativos
imagem
preço"
Para quem não exige excessos de recursos é uma ótima televisão.,televisão
"Produto excelente, imagem , som, realmente como esperava do produto após criteriosa pesquisa e analise de custo beneficio, acredito ter encontrado um produto que realmente tenha satisfeito meus anseios por tecnologia e qualidade.","produto
imagem
som
produto"
"Recomendo este produto porque ele tem uma imagem muito boa, recursos e bom audio","produto
imagem
audio"
"TV smart LED. 32 - Ótima qualidade, entrega dentro do prazo , recomendo.",entrega
"Então. Entrega ótima, parabéns a Americanas. Sobre a TV. Até o momento tudo bem. Todos os recursos funcionando bem. Sobre o som, tem uma galera reclamando em comentários. Basta mudar em configurações e tirar de """"Padrão"""" para uma opção especifica. Aqui eu coloquei """"Filme"""". fica satisfatório. Sobre a recepção Wifi. Apesar de não me dar problema, acho ruim pois fica a apenas alguns metros do roteador e o sinal fica baixo. Provavelmente não possui uma antena para captar melhor o sinal. Enfim, um bom investimento.","entrega
recursos
antena"
"Ótimo produto, entrega rápida (15 dias), ainda não tenho nada a reclamar por estar utilizando-a a poucos dias, somente o Time-On que as vezes não funciona, mas no restante tudo ótimo, som bom, imagem 100%, função Smart tbm não deixa a desejar funciona 100%. Produto recomendado.","produto
entrega
som
imagem
função smart
produto"
"Parabéns Lojas Americanas, pela qualidade do produto e rapidez na entrega! CLIENTE SATISFEITO É CLIENTE AMERICANAS...","produto
entrega"
"Tv ótima, melhor conteúdo em smart tv, fácil configuração e imagem HD. e a entrega, como sempre a Americanas surpreende com sua entrega a jato!! comprei no sabado 21/01 e recebi na segunda 23/01!!","tv
configuração
imagem
entrega"
O sistema é muito lento e eventualmente tranca precisando desligar o aparelho.,sistema
"O aparelho e sensacional muito boa e facil instalação e manuseio, eu recomendo.","aparelho
instalação
manuseio"
"tv de baixa qualidade. Conexão lenta, processamento dela lento. As vezes trava de um jeito que tem q ligar e desligar na tomada.","tv
conexão
processamento"
Som horrível muito baixo não gostei e os pés muito fraco se der uma corrente de vento cai no chão .,"som
pés"
"Tv de boa qualidade. Cumpre com o esperado. Apenas alguns aplicativos não rodam muito bem, mas pode ser um problema do próprio app.","tv
alguns aplicativos"
"O volume, imagem, função smart n tem defeito, a tv é leve, a entrega da americanas foi mto rápida, e isso porque comprei na semana do Black Friday.","volume
imagem
função smart
entrega"
"A captura das imagens para a tela não é compativel com qq aparelho telefonico mas como e compativel com o meu, super atendeu as expectativas.",""
Como eu disse gostei muito do produto. A qualidade do som que realmente deixa a desejar.,"produto
som"
"Americanas nota dez, produto de excelente qualidade estou muito satisfeito.",produto
Chegou no prazo. Segundo que adquiro. Recomendo muito. Samsung é ótima marca.,marca
"Tirando o sistema operacional da TV ela tem uma belíssima imagem e o designe tbm é de 1ª, já a função SMART é péssima, porem você pode usar o seu celular como o chomercast e paradear o mesmo com a tv que resolve esse problema do sistema.","imagem
designe
smart"
Ótimo muito bom mesmo leve recomendo e de fácil configuração,configuração
"Imagem ótima, som de boa qualidade com várias configurações que realmente funcionam, Função Futebol, Smart excelente. Fiz uma ótima aquisição, recomendo com certeza. A entrega rápida antes do prazo previsto.","imagem
som
configurações
smart
entrega"
"cumpre perfeitamente todos os requisitos, pois é de ótima qualidade",""
Produto de qualidade e entrega dentro do prazo. Vale a pena pena.,"produto
entrega"
"Adorei a TV, tem aplicativo do Netflix e memória interna para baixar outros. Som e imagem muito bons.","tv
netflix
memória interna
som
imagem"
"TV com imagem muito boa e wifi, porém o som deixar a desejar (pouco potëncia no graves e agudos), mas é uma boa TV em termos de custo benefício.","imagem
som
graves e agudos
tv
custo benefício"
"Entrega rápida, produto de qualidade inquestionável. Submarino está de parabéns pela entrega. Compro sempre na loja e recomendo.","entrega
produto"
Superou minhas expectativas! É uma ótima televisão! O Netflix funciona perfeitamente! E como sempre uma emprega super rápida da submarino! 10/10,"televisão
netflix
emprega"
"Recomendo este produto ótima qualidade, parabéns Shoptime entregou antes do tempo marcado","produto
produto"
"Ótimo tv cumpre o que promete, as americanas também é ótima, entrega muito antes da data prevista, sempre comprei aqui e não o que reclamar","tv
tv
entrega"
"mto bom o processamento, trava mto pouco em relacao as versoes anteriores...",processamento
"Agora tenho mais um aparelho com wi-fi, o que facilitou para assistir Netflix.",wi-fi
"Muito boa, só que dá umas travadas de vez em quando em alguns aplicativos",""
o produto é bom só deixa a desejar o aúdio q é muito baixo.,"produto
aúdio"
"Comprei dia 23/07/2018 uma Smartv 32"""" Samsung muito recente e a mesma não é compatível com o meu Celular J5 da samsung e nem com iphone 6, para eu fazer o espelhamento. Liguei na samsung e me responderam apenas que não é compatível com a linha J, deveria está informando antes de vender. ( A TV tem o screen mirroring ).",""
Atendeu minhas expectativas. É um excelente produto para quem gosta de programação on line e futebol.,produto
"Gostei bastante da TV, me atendeu bem ao que eu precisava!",tv
Pelo preço que custa atende as necessidades. Demora um pouco pra dar respostas aos comando.. como um simples aumento de volume ou troca de canal e carregar os Apps quando liga a TV..,comando
"Este produto foi o mais completo que eu encontrei e com as características que procurava, faça um teste definitivo e não se arrependerá.",produto
"Mais uma vez a AMERICANAS cumpriu o que prometeu e mais, entrega antes do prazo previsto. Quanto ao produto, sem observações. MUITO BOM!! Recomendo pela qualidade, pelo custo beneficio, pelo design.","entrega
produto
custo beneficio
design"
"Comprei pela marca, e até agora está tudo bem. Adorei a compra.",""
Produto demora em responder as solicitações (processador poderia ser mais rapido,"produto
processador"
"Essa Smart TV é muito boa, som e imagem de ótima qualidade. Um senão em relação aos pés de sustentação da Tv quando colocada em uma mesa, estante ou numa base horizontal, eles são frágeis e é preciso cuidado ao montá-los no aparelho. No mais, sem observações. Quanto a entrega Americanas, como sempre, entregando antes do prazo.","smart tv
som
imagem
pés de sustentação"
Produto é bom e a entrega foi bem rápida. Todos estão de Parabéns!,"produto
entrega"
"Além do prazo de entrega ser super rápido,o produto superou minhas expectativas. Já conhecia a marca que não deixa a desejar, agora a qualidade como Smart TV é novidade pra mim... muito boa a fácil de manusear, minha mãe já consegue colocar nos aplicativos que gosta rsrs.","prazo de entrega
produto
manusear"
"Ótima TV, supre minhas necessidades diárias! Somente quando deixo na Smart, assistindo Netflix o som fica mais baixo, mas normalmente o som é suficiente","tv
som
som"
"O produto é muito bom e recomendo as pessoas que anida não possui este produto que adquira, pois não irão se arrepender.",produto
"Bom a marca ajuda muito já e a quarta TV que adquiri ,entrega antes do prazo o que me deixa mais feliz ainda ,todos que estão com suas TVs novas estão muito felizes . Parabéns a todos que trabalham pra que tudo sai como desejado pelos clientes!!",entrega
Produto atendeu todas minhas necessidades e expectativas. Entrega antes do prazo.,"produto
entrega"
"Ótimo aparelho... Atendeu minhas expectativas, chegou bem rápido... A Americanos está de parabéns!",aparelho
Tv super lenta para acessa os menus e a parte smart Aparece uma tela com a frase. Aguarde um momento. Em todos os app. Pior disso tudo. Que a tv chegou dia 03 e eu estava embarcado agora nem da para trocar. Estou muito decepcionado com a Samsung por um produto tão inferior.,"menus
smart
produto"
Produto excelente e atendimento americanas muito bom!! Obrigada a todos!!,produto
