review,tokens,explicit aspects,explicit opinion,implicit aspects,implicit opinion,is_suggestion,explicit aspects positions,explicit opinion positions,aspect_tags,review_number,total_aspects,has_aspect,fold
"O produto atende perfeitamente às expectativas, tudo funcionando muito bem, além de ser um produto bastante belo!","['O', 'produto', 'atende', 'perfeitamente', 'à', 's', 'expectativas', ',', 'tudo', 'funcionando', 'muito', 'bem', ',', 'além', 'de', 'ser', 'um', 'produto', 'bastante', 'belo', '!']",['produto'],['atende perfeitamente às expectativas'],"['funcionamento', 'design']","['funcionando muito bem', 'bastante belo']",,"[[1, 2]]","[[2, 7]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",581,1,1,1
Satisfeita com a compra e com a entrega da loja. Recomendo...,"['Satisfeita', 'com', 'a', 'compra', 'e', 'com', 'a', 'entrega', 'da', 'loja', '.', 'Recomendo', '...']","['compra', 'entrega']","['satisfeita', 'satisfeita']",['produto'],['recomendo'],,"[[3, 4], [7, 8]]","[[0, 1], [0, 1]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']",112,2,1,1
Produto muito bom. A qualidade do produto é muito boa e chegou antes do esperado. Estou muito satisfeito.,"['Produto', 'muito', 'bom', '.', 'A', 'qualidade', 'do', 'produto', 'é', 'muito', 'boa', 'e', 'chegou', 'antes', 'do', 'esperado', '.', 'Estou', 'muito', 'satisfeito', '.']","['produto', 'qualidade do produto']","['muito bom', 'muito boa']","['entrega', 'produto']","['chegou antes do esperado', 'estou muito satisfeito']",,"[[0, 1], [5, 8]]","[[1, 3], [9, 11]]","['B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",591,2,1,1
"é um bom produto, smart funciona bem, somente o som não é dos melhores, mas num ambiente pequeno até que vai bem, mas custo benefício é um bom produto, recomendo","['é', 'um', 'bom', 'produto', ',', 'smart', 'funciona', 'bem', ',', 'somente', 'o', 'som', 'não', 'é', 'dos', 'melhores', ',', 'mas', 'num', 'ambiente', 'pequeno', 'até', 'que', 'vai', 'bem', ',', 'mas', 'custo', 'benefício', 'é', 'um', 'bom', 'produto', ',', 'recomendo']","['produto', 'smart', 'som', 'custo benefício']","['bom', 'funciona bem', 'não é dos melhores', 'bom produto']",['produto'],['recomendo'],,"[[3, 4], [5, 6], [11, 12], [27, 29]]","[[2, 3], [6, 8], [12, 16], [31, 33]]","['O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O']",601,4,1,1
Não consigo comunicação entre o YouTube da tv e do celular................................,"['Não', 'consigo', 'comunicação', 'entre', 'o', 'YouTube', 'da', 'tv', 'e', 'do', 'celular', '................................']",['comunicação'],['não consigo'],[],[],,"[[2, 3]]","[[0, 2]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",611,1,1,1
"muito bom o custo em relação ao beneficio, recursos suficientes para que eu pretendia.","['muito', 'bom', 'o', 'custo', 'em', 'relação', 'a', 'o', 'beneficio', ',', 'recursos', 'suficientes', 'para', 'que', 'eu', 'pretendia', '.']","['custo em relação ao beneficio', 'recursos']","['muito bom', 'suficientes']",[],[],,"[[3, 9], [10, 11]]","[[0, 2], [11, 12]]","['O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']",621,2,1,1
Os produtos são ótimos e estou muito satisfeita com a compra.,"['Os', 'produtos', 'são', 'ótimos', 'e', 'estou', 'muito', 'satisfeita', 'com', 'a', 'compra', '.']","['produtos', 'compra']","['ótimos', 'muito satisfeita']",[],[],,"[[1, 2], [10, 11]]","[[3, 4], [6, 8]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']",631,2,1,1
"TUDO OK PRAZO DE ENTEAGA CUMPRIDO, A ÚNICA COISA QUE NÃO GOSEI FOI O SON QUE É MITO BAIXO, FORA ISSO RECOMENDO.","['TUDO', 'OK', 'PRAZO', 'DE', 'ENTEAGA', 'CUMPRIDO', ',', 'A', 'ÚNICA', 'COISA', 'QUE', 'NÃO', 'GOSEI', 'FOI', 'O', 'SON', 'QUE', 'É', 'MITO', 'BAIXO', ',', 'FORA', 'ISSO', 'RECOMENDO', '.']","['enteaga', 'son', 'son']","['cumprido', 'não gosei', 'mito baixo']",['produto'],['recomendo'],,"[[4, 5], [15, 16], [15, 16]]","[[5, 6], [11, 13], [18, 20]]","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",101,2,1,1
"gostei muito, entregaram mesmo no domingo, excelente, agora posso ver vídeos do you tube sem pc, e ainda tem receptor de internet sem cabo, excelente.","['gostei', 'muito', ',', 'entregaram', 'mesmo', 'no', 'domingo', ',', 'excelente', ',', 'agora', 'posso', 'ver', 'vídeos', 'do', 'you', 'tube', 'sem', 'pc', ',', 'e', 'ainda', 'tem', 'receptor', 'de', 'internet', 'sem', 'cabo', ',', 'excelente', '.']",[],[],"['produto', 'entrega', 'conexão', 'produto']","['gostei muito', 'excelente', 'receptor de internet sem cabo', 'excelente']",,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",76,0,0,1
"Gostei muito do produto, entrega rápida, antes do prazo, recomendo.","['Gostei', 'muito', 'do', 'produto', ',', 'entrega', 'rápida', ',', 'antes', 'do', 'prazo', ',', 'recomendo', '.']","['produto', 'entrega', 'entrega']","['gostei muito', 'rápida', 'antes do prazo']",['produto'],['recomendo'],,"[[3, 4], [5, 6], [5, 6]]","[[0, 2], [6, 7], [8, 11]]","['O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",746,2,1,1
"TV com custo benefício ótimo, fácil instalação e imagem ótima, faz mais de um ano que já tinha uma dessas e comprei outra , produto durável.","['TV', 'com', 'custo', 'benefício', 'ótimo', ',', 'fácil', 'instalação', 'e', 'imagem', 'ótima', ',', 'faz', 'mais', 'de', 'um', 'ano', 'que', 'já', 'tinha', 'uma', 'd', 'essas', 'e', 'comprei', 'outra', ',', 'produto', 'durável', '.']","['custo benefício', 'instalação', 'imagem', 'produto']","['ótimo', 'fácil', 'ótima', 'durável']",[],[],,"[[2, 4], [7, 8], [9, 10], [27, 28]]","[[4, 5], [6, 7], [10, 11], [28, 29]]","['O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']",735,4,1,1
"EXCELENTE PRODUTO, DE QUALIDADE E COM ACOMPANHAMENTO DA LOJA. DA COMPRA ATÉ A ENTREGA. ENTREGA ANTES DA DATA PREVISTA.","['EXCELENTE', 'PRODUTO', ',', 'DE', 'QUALIDADE', 'E', 'COM', 'ACOMPANHAMENTO', 'DA', 'LOJA', '.', 'DA', 'COMPRA', 'ATÉ', 'A', 'ENTREGA', '.', 'ENTREGA', 'ANTES', 'DA', 'DATA', 'PREVISTA', '.']","['produto', 'entrega']","['excelente', 'antes da data prevista']",['produto'],['qualidade'],,"[[1, 2], [17, 18]]","[[0, 1], [18, 22]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']",82,2,1,1
"Muito bom o produto,fácil manuseio,côr bem definida do aparelho e ainda a entrega foi excelente o prazo,recomendo.","['Muito', 'bom', 'o', 'produto', ',', 'fácil', 'manuseio', ',', 'côr', 'bem', 'definida', 'do', 'aparelho', 'e', 'ainda', 'a', 'entrega', 'foi', 'excelente', 'o', 'prazo', ',', 'recomendo', '.']","['produto', 'manuseio', 'côr', 'entrega']","['muito bom', 'fácil', 'bem definida', 'excelente o prazo']",['produto'],['recomendo'],,"[[3, 4], [6, 7], [8, 9], [16, 17]]","[[0, 2], [5, 6], [9, 11], [18, 21]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",724,4,1,1
"Uma otima TV pelo custo, design razoavel, otima imagem! So recomendo!","['Uma', 'otima', 'TV', 'pelo', 'custo', ',', 'design', 'razoavel', ',', 'otima', 'imagem', '!', 'So', 'recomendo', '!']","['tv', 'design', 'imagem']","['otima', 'razoavel', 'otima']",['produto'],['so recomendo'],,"[[2, 3], [6, 7], [10, 11]]","[[1, 2], [7, 8], [9, 10]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']",711,3,1,1
Excelente produto e foi entregue bem antes do prazo estipulado. Entregadores atenciosos e gentis. Recomendo e agradeço.,"['Excelente', 'produto', 'e', 'foi', 'entregue', 'bem', 'antes', 'do', 'prazo', 'estipulado', '.', 'Entregadores', 'atenciosos', 'e', 'gentis', '.', 'Recomendo', 'e', 'agradeço', '.']",['produto'],['excelente'],['entrega'],['entregue bem antes do prazo estipulado'],,"[[1, 2]]","[[0, 1]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",502,1,1,1
recebi o aparelho no dia 48 horas depois já parou de funcionar.,"['recebi', 'o', 'aparelho', 'no', 'dia', '48', 'horas', 'depois', 'já', 'parou', 'de', 'funcionar', '.']",['aparelho'],['parou de funcionar'],[],[],,"[[2, 3]]","[[9, 12]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",701,1,1,1
Apenas não gostei da fonte de alimentação que o acompanha.,"['Apenas', 'não', 'gostei', 'da', 'fonte', 'de', 'alimentação', 'que', 'o', 'acompanha', '.']",['fonte de alimentação'],['não gostei'],[],[],,"[[4, 7]]","[[1, 3]]","['O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O']",681,1,1,1
"Otima tv,muito facil de manuseio sem falar que e muito bonita e super leve. Adorei","['Otima', 'tv', ',', 'muito', 'facil', 'de', 'manuseio', 'sem', 'falar', 'que', 'e', 'muito', 'bonita', 'e', 'super', 'leve', '.', 'Adorei']","['tv', 'manuseio']","['otima', 'muito facil']","['design', 'peso', 'produto']","['muito bonita', 'super leve', 'adorei']",,"[[1, 2], [6, 7]]","[[0, 1], [3, 5]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",92,2,1,1
Ótimo produto!!! Estou muito satisfeita com minha escolha. Minha internet é de apenas 1G e usufruo do youtube normalmente.,"['Ótimo', 'produto', '!', '!', '!', 'Estou', 'muito', 'satisfeita', 'com', 'minha', 'escolha', '.', 'Minha', 'internet', 'é', 'de', 'apenas', '1', 'G', 'e', 'usufruo', 'do', 'youtube', 'normalmente', '.']",['produto'],['ótimo'],[],[],,"[[1, 2]]","[[0, 1]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",671,1,1,1
Estou tendo dificuldades pra conecrar o Wi-Fi e o suporte táctico nao ajudou em nada. Nao conectou o netflix pelo celular. decepcionada.,"['Estou', 'tendo', 'dificuldades', 'pra', 'conecrar', 'o', 'Wi-Fi', 'e', 'o', 'suporte', 'táctico', 'nao', 'ajudou', 'em', 'nada', '.', 'Nao', 'conectou', 'o', 'netflix', 'pelo', 'celular', '.', 'decepcionada', '.']",[],[],[],[],,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",661,0,0,1
"Realmente muito bom, fácil, leve, imagem sensacional, entrega rápido. Lembrando que tem acesso a internet, o que mais uso YouTube e netiflix. Recomendo.","['Realmente', 'muito', 'bom', ',', 'fácil', ',', 'leve', ',', 'imagem', 'sensacional', ',', 'entrega', 'rápido', '.', 'Lembrando', 'que', 'tem', 'acesso', 'a', 'internet', ',', 'o', 'que', 'mais', 'uso', 'YouTube', 'e', 'netiflix', '.', 'Recomendo', '.']","['imagem', 'entrega']","['sensacional', 'rápido']","['produto', 'usabilidade', 'peso', 'produto']","['realmente muito bom', 'fácil', 'leve', 'recomendo']",,"[[8, 9], [11, 12]]","[[9, 10], [12, 13]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",651,2,1,1
"A TV foi adquirida para a exibição de desenhos animados e filmes infantis, e para esse fim o custo x benefício foi ótimo.","['A', 'TV', 'foi', 'adquirida', 'para', 'a', 'exibição', 'de', 'desenhos', 'animados', 'e', 'filmes', 'infantis', ',', 'e', 'para', 'esse', 'fim', 'o', 'custo', 'x', 'benefício', 'foi', 'ótimo', '.']",['custo x benefício'],['ótimo'],[],[],,"[[19, 22]]","[[23, 24]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O']",641,1,1,1
Gostei do preço Samsung Smart TV gosto dos produtos da marca Samsung,"['Gostei', 'do', 'preço', 'Samsung', 'Smart', 'TV', 'gosto', 'dos', 'produtos', 'da', 'marca', 'Samsung']","['preço', 'produtos']","['gostei', 'gosto']",[],[],,"[[2, 3], [8, 9]]","[[0, 1], [6, 7]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']",691,2,1,1
Ótimo custo benefício. Cumpre o que promete. Achei um pouco lento nas mudanças de funções e principalmente para se conectar ao wifi quando liga a tv.,"['Ótimo', 'custo', 'benefício', '.', 'Cumpre', 'o', 'que', 'promete', '.', 'Achei', 'um', 'pouco', 'lento', 'nas', 'mudanças', 'de', 'funções', 'e', 'principalmente', 'para', 'se', 'conectar', 'a', 'o', 'wifi', 'quando', 'liga', 'a', 'tv', '.']","['custo benefício', 'mudanças de funções']","['ótimo', 'um pouco lento']",['conexão wifi'],['um pouco lento'],,"[[1, 3], [14, 17]]","[[0, 1], [10, 13]]","['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",494,2,1,1
Rapaz veio rápido e a tv e ótima. melhor não tem. quem quer compra um boa tv esta e a opção.,"['Rapaz', 'veio', 'rápido', 'e', 'a', 'tv', 'e', 'ótima', '.', 'melhor', 'não', 'tem', '.', 'quem', 'quer', 'compra', 'um', 'boa', 'tv', 'esta', 'e', 'a', 'opção', '.']","['tv', 'tv']","['ótima', 'boa']","['entrega', 'produto']","['veio rápido', 'melhor não tem']",,"[[5, 6], [18, 19]]","[[7, 8], [17, 18]]","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']",481,2,1,1
"Ótimo produto, faz bem o seu papel, recomendo chegou antes do prazo!","['Ótimo', 'produto', ',', 'faz', 'bem', 'o', 'seu', 'papel', ',', 'recomendo', 'chegou', 'antes', 'do', 'prazo', '!']",['produto'],['ótimo'],"['produto', 'entrega']","['faz bem o seu papel, recomendo', 'chegou antes do prazo']",,"[[1, 2]]","[[0, 1]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",472,1,1,1
Produto entregue dentro do prazo. Caixa bastante protegida para não danificar a mercadoria.,"['Produto', 'entregue', 'dentro', 'do', 'prazo', '.', 'Caixa', 'bastante', 'protegida', 'para', 'não', 'danificar', 'a', 'mercadoria', '.']","['produto', 'caixa']","['dentro do prazo', 'protegida']",[],[],,"[[0, 1], [6, 7]]","[[2, 5], [8, 9]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",172,2,1,1
"Ótima tv, boa definição de som, imagem e design .","['Ótima', 'tv', ',', 'boa', 'definição', 'de', 'som', ',', 'imagem', 'e', 'design', '.']","['tv', 'som', 'imagem', 'design']","['ótima', 'boa definição', 'boa definição', 'boa definição']",[],[],,"[[1, 2], [6, 7], [8, 9], [10, 11]]","[[0, 1], [3, 5], [3, 5], [3, 5]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'B-ASP', 'O']",311,4,1,1
Gostei muito da TV. Muito leve e fácil de ser instalada. Foi entregue muito antes do prazo. Ótima compra.,"['Gostei', 'muito', 'da', 'TV', '.', 'Muito', 'leve', 'e', 'fácil', 'de', 'ser', 'instalada', '.', 'Foi', 'entregue', 'muito', 'antes', 'do', 'prazo', '.', 'Ótima', 'compra', '.']","['tv', 'compra']","['gostei muito', 'ótima']","['peso', 'instalação', 'entrega']","['leve', 'fácil de ser instalada', 'antes do prazo']",,"[[3, 4], [21, 22]]","[[0, 2], [20, 21]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']",301,2,1,1
"Adorei, imagem ótima, tv levinha, entrega em 6 dias, superou minhas expectativas.","['Adorei', ',', 'imagem', 'ótima', ',', 'tv', 'levinha', ',', 'entrega', 'em', '6', 'dias', ',', 'superou', 'minhas', 'expectativas', '.']","['imagem', 'entrega']","['ótima', 'superou minhas expectativas']",['peso'],['levinha'],,"[[2, 3], [8, 9]]","[[3, 4], [13, 16]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",291,2,1,1
"Perfeita, atendeu todas as minhas necessidades, além de ter uma ótima qualidade de imagem.","['Perfeita', ',', 'atendeu', 'todas', 'as', 'minhas', 'necessidades', ',', 'além', 'de', 'ter', 'uma', 'ótima', 'qualidade', 'de', 'imagem', '.']",['imagem'],['ótima qualidade'],"['produto', 'produto']","['perfeita', 'atendeu todas as minhas necessidades']",,"[[15, 16]]","[[12, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']",282,1,1,1
O produto é muito bom já tinha uma da mesma marca recomendo para ser melhor já podia vim com suporte para parede .,"['O', 'produto', 'é', 'muito', 'bom', 'já', 'tinha', 'uma', 'da', 'mesma', 'marca', 'recomendo', 'para', 'ser', 'melhor', 'já', 'podia', 'vim', 'com', 'suporte', 'para', 'parede', '.']","['produto', 'suporte para parede']","['muito bom', 'podia vim']",[],[],,"[[1, 2], [19, 22]]","[[3, 5], [16, 18]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O']",181,2,1,1
"Atendeu todas as minhas expectativas, custo benefício bom e estou satisfeito.","['Atendeu', 'todas', 'as', 'minhas', 'expectativas', ',', 'custo', 'benefício', 'bom', 'e', 'estou', 'satisfeito', '.']",['custo benefício'],['bom'],"['produto', 'produto']","['atendeu todas as minhas expectativas', 'satisfeito']",,"[[6, 8]]","[[8, 9]]","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O']",321,1,1,1
Gostei muito. Imagem e som Muito boa. Recomendo,"['Gostei', 'muito', '.', 'Imagem', 'e', 'som', 'Muito', 'boa', '.', 'Recomendo']","['imagem', 'som']","['muito boa', 'muito boa']",['produto'],['recomendo'],,"[[3, 4], [5, 6]]","[[6, 8], [6, 8]]","['O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O']",271,2,1,1
"Ótima qualidade de imagem, se conecta rápido ao wi-fi, produto muito bom!","['Ótima', 'qualidade', 'de', 'imagem', ',', 'se', 'conecta', 'rápido', 'a', 'o', 'wi-fi', ',', 'produto', 'muito', 'bom', '!']","['imagem', 'wi-fi', 'produto']","['ótima qualidade', 'conecta rápido', 'muito bom']",[],[],,"[[3, 4], [10, 11], [12, 13]]","[[0, 2], [6, 8], [13, 15]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O']",252,3,1,1
